#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
145 82.666667 154.231788 530 8.183633 26 9602 16 519 1488 70.896258 234.590338 304 651.639829 26 12 196.934049 106.330539 2 17 58 18.116981 11.562361
146 81.888889 155.334724 467 8.064076 26 8475 17 522 1474 71.366178 232.104587 294 644.734963 26 12 198.239383 102.287421 2 17 58 18.147752 11.111929
147 83.611111 154.390968 399 8.303433 25 7917 19 520 1505 71.052859 237.612291 305 625.295501 25 12 186.981209 101.118189 2 17 59 19.842105 11.002740
148 82.777778 153.454501 357 8.183633 24 7155 18 520 1490 71.052859 234.945661 296 587.364153 24 12 177.632148 92.785098 2 17 58 20.042017 11.292690
149 83.333333 156.956470 352 8.303433 24 6074 18 527 1500 72.150144 236.723080 279 696.244354 24 12 212.206305 101.920645 2 18 59 17.255682 9.610451
150 83.666667 158.086474 752 8.303433 28 12941 17 531 1506 72.778000 237.790172 296 699.382860 28 12 214.052941 109.158938 2 18 59 17.208777 10.847726
151 83.111111 158.311188 258 8.303433 24 4572 16 531 1496 72.778000 236.011952 292 694.152801 24 12 214.052941 107.450518 2 18 59 17.720930 12.046085
152 83.833333 159.983072 427 8.303433 24 7345 17 536 1509 73.563667 238.323898 277 700.952641 24 11 216.363727 101.073017 2 18 59 17.201405 10.803187
153 83.055556 157.811587 422 8.303433 25 6622 17 531 1495 72.778000 235.834204 273 786.114012 25 12 242.593333 112.631025 2 18 58 15.691943 9.493569
154 81.611111 153.057774 597 8.064076 22 10064 15 515 1469 70.270237 231.217461 281 722.554567 22 11 219.594491 109.192185 2 17 57 16.857621 10.934470
155 81.888889 156.453717 366 8.064076 22 6051 15 524 1474 71.679650 232.104587 282 725.326833 22 12 223.998906 109.643270 2 17 58 16.532787 10.591922
156 82.833333 159.619426 589 8.183633 25 9532 15 534 1491 73.249288 235.123343 282 734.760447 25 12 228.904024 109.643270 2 18 58 16.183362 10.173720
157 82.888889 159.424273 298 8.183633 22 4815 16 534 1492 73.249288 235.301038 262 735.315744 22 12 228.904024 100.664778 2 18 58 16.157718 9.417531
158 84.666667 160.405043 628 8.423475 25 10780 17 538 1524 73.878196 240.994309 291 708.806793 25 12 217.288810 107.023914 2 18 60 17.165605 10.092153
159 85.500000 161.213196 331 8.543754 20 5858 18 541 1539 74.350267 243.667674 274 716.669629 20 11 218.677256 99.803170 2 18 60 17.697885 10.665441
160 84.555556 159.936870 457 8.423475 22 7824 20 537 1522 73.720913 240.638083 264 707.759069 22 12 216.826214 95.584423 2 18 60 17.120350 10.373167
161 84.000000 156.392313 415 8.423475 20 7330 19 528 1512 72.307051 238.857743 284 702.522772 20 12 212.667797 104.043391 2 18 59 17.662651 9.676051
162 82.166667 153.874498 464 8.183633 22 7931 18 518 1479 70.739695 232.992051 256 685.270739 22 12 208.057925 92.225430 2 17 58 17.092672 8.313758
163 83.000000 155.852851 425 8.303433 19 6786 18 524 1494 71.679650 235.656468 215 785.521561 19 12 238.932166 85.285877 2 17 58 15.967059 7.571081
164 80.944444 147.775909 520 7.944767 24 8925 19 499 1457 67.772418 229.089752 267 673.793387 24 12 199.330641 96.847745 1 16 57 17.163462 9.160650
165 80.111111 143.483212 359 7.944767 22 6379 20 486 1442 65.750481 226.432896 244 665.979106 22 11 193.383767 87.214666 1 16 56 17.768802 9.159042
166 80.555556 146.196680 552 7.944767 23 9751 19 494 1450 66.993938 227.849499 255 670.145586 23 12 197.040995 91.806581 1 16 56 17.664855 9.979236
167 80.444444 146.189459 371 7.944767 23 6571 19 495 1448 67.149554 227.495266 272 669.103722 23 12 197.498687 98.957677 1 16 56 17.711590 9.347173
168 55.176471 108.363351 457 5.052973 21 7207 20 488 938 66.061100 139.227313 196 464.091044 21 12 220.203666 76.542955 1 16 34 15.770241 7.784976
169 80.888889 144.055888 414 7.944767 23 7381 21 490 1456 66.371883 228.912531 225 673.272151 23 12 195.211420 79.352691 1 16 57 17.828502 8.455171
170 81.666667 142.794335 530 8.064076 26 9751 22 486 1470 65.750481 231.394859 258 642.763498 26 12 182.640224 87.893605 2 16 57 18.398113 8.386984
171 84.055556 145.337336 350 8.423475 22 6897 22 498 1513 67.616641 239.035717 257 629.041361 22 11 177.938530 82.892456 2 16 59 19.705714 8.918150
172 81.333333 150.092564 481 8.064076 25 8243 17 506 1464 68.863970 230.330676 219 677.443166 25 12 202.541089 76.889209 2 17 57 17.137214 8.077708
173 78.944444 142.837698 364 7.706901 24 6127 14 485 1421 65.595233 222.718548 244 695.995464 24 12 204.985102 92.665583 1 16 55 16.832418 8.899126
174 77.000000 142.494834 489 7.588351 22 6853 15 481 1386 64.974654 216.541808 252 773.363602 22 12 232.052337 109.955296 1 16 54 14.014315 8.883580
175 78.888889 145.407431 409 7.706901 27 6428 10 491 1420 66.527336 222.541829 275 741.806096 27 12 221.757786 113.589737 1 16 55 15.716381 9.192468
176 80.055556 145.531009 442 7.944767 25 6759 14 492 1441 66.682829 226.255883 252 754.186276 25 12 222.276098 102.624943 1 16 56 15.291855 8.114474
177 79.666667 142.277507 365 7.825707 27 6337 16 483 1434 65.284861 225.017180 245 661.815236 27 12 192.014296 87.630927 1 16 56 17.361644 9.108819
178 82.000000 150.339985 484 8.183633 27 8281 14 508 1476 69.176199 232.459532 209 683.704505 27 12 203.459410 72.805031 2 17 58 17.109504 9.564612
