#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
209 36.142857 13.922526 209 3.005683 18 4029 22 56 253 5.164846 30.929655 54 81.393830 18 12 13.591699 13.003855 0 1 7 19.277512 17.083794
210 33.857143 16.083963 166 2.698607 13 3360 19 57 237 5.277075 28.664600 52 71.661501 13 11 13.192688 11.798914 0 1 7 20.240964 17.668016
211 33.714286 15.059067 204 2.698607 16 3898 20 55 236 5.052973 28.523737 51 75.062466 16 12 13.297299 12.129446 0 1 7 19.107843 16.671807
212 33.285714 15.799768 185 2.698607 13 3333 19 56 233 5.164846 28.101657 50 78.060158 13 12 14.346794 12.497793 0 1 7 18.016216 17.190027
213 33.857143 15.878364 221 2.698607 17 4224 20 57 237 5.277075 28.664600 52 75.433159 17 12 13.887040 12.419910 0 1 7 19.113122 17.230166
214 34.857143 15.207410 186 2.800383 12 3319 19 56 244 5.164846 29.652987 50 87.214666 12 12 15.190723 13.232957 0 1 7 17.844086 16.954474
215 33.285714 17.060517 235 2.698607 17 4330 18 57 233 5.277075 28.101657 54 78.060158 17 12 14.658542 13.726291 0 1 7 18.425532 17.861577
216 33.285714 15.799768 189 2.698607 13 3428 19 55 233 5.052973 28.101657 52 78.060158 13 12 14.036037 13.109905 0 1 7 18.137566 17.245262
217 33.571429 16.560341 207 2.698607 17 3893 17 56 235 5.164846 28.382958 53 78.841551 17 12 14.346794 13.417574 0 1 7 18.806763 18.134531
218 33.142857 17.074865 185 2.698607 14 3368 18 57 232 5.277075 27.961135 52 77.669819 14 12 14.658542 13.109905 0 1 6 18.205405 17.726480
219 33.428571 16.551712 205 2.698607 18 4156 15 56 234 5.164846 28.242265 53 70.605663 18 12 12.912114 12.075816 0 1 7 20.273171 16.917692
220 36.000000 14.560220 189 3.005683 13 3777 23 56 252 5.164846 30.787483 52 81.019692 13 12 13.591699 12.419910 0 1 7 19.984127 16.840200
221 35.571429 15.683086 198 2.902747 16 4274 21 58 249 5.389655 30.361443 55 72.289149 16 12 12.832513 12.030889 0 1 7 21.585859 17.557128
222 34.428571 17.982985 186 2.800383 12 3571 19 59 241 5.502580 29.228894 54 76.918142 12 12 14.480475 13.003855 0 1 7 19.198925 18.184485
223 34.857143 16.779482 238 2.800383 18 4310 20 58 244 5.389655 29.652987 55 82.369407 18 12 14.971265 14.036037 0 1 7 18.109244 16.768463
224 31.857143 14.932501 184 2.496892 12 3074 17 53 223 4.830327 26.700360 47 83.438627 12 12 15.094771 13.036519 0 1 6 16.706522 15.941836
225 32.428571 15.370260 211 2.597437 17 3685 18 54 227 4.941465 27.259825 51 80.175955 17 12 14.533720 13.556440 0 1 6 17.464455 16.690447
226 33.857143 15.887359 185 2.698607 12 3310 20 57 237 5.277075 28.664600 50 84.307648 12 12 15.520809 13.232957 0 1 7 17.891892 17.192996
227 31.571429 16.706347 241 2.496892 17 4184 15 55 221 5.052973 26.421165 53 77.709308 17 12 14.861687 14.206843 0 1 6 17.360996 16.664569
228 33.142857 15.505101 185 2.698607 13 3195 20 55 232 5.052973 27.961135 48 82.238632 13 12 14.861687 12.589545 0 1 6 17.270270 16.724555
229 33.428571 14.831021 213 2.698607 17 3615 20 54 234 4.941465 28.242265 47 88.257078 17 12 15.442078 13.036519 0 1 7 16.971831 16.079589
230 31.428571 14.201178 115 2.496892 9 1879 19 51 220 4.609189 26.281703 44 82.130320 9 12 14.403717 12.024996 0 1 6 16.339130 14.932245
231 30.714286 13.791450 241 2.396992 18 3695 17 50 215 4.499205 25.585763 44 85.285877 18 12 14.997351 12.826663 0 1 6 15.331950 14.270278
232 31.714286 12.279068 186 2.496892 12 2847 20 50 222 4.499205 26.560718 41 88.535725 12 12 14.997351 11.761351 0 1 6 15.306452 14.146988
233 30.142857 12.755151 183 2.396992 16 3130 15 48 211 4.280445 25.030684 42 73.619657 16 12 12.589545 10.689600 0 1 6 17.103825 14.047349
234 31.285714 12.032270 188 2.496892 13 2885 20 48 219 4.280445 26.142331 41 87.141104 13 12 14.268151 11.761351 0 1 6 15.345745 13.796493
235 30.857143 13.152171 227 2.396992 16 3470 19 50 216 4.499205 25.724767 42 85.749222 16 12 14.997351 12.114880 0 1 6 15.286344 13.998173
236 31.571429 12.419537 186 2.496892 12 2774 20 49 221 4.389621 26.421165 42 94.361303 12 12 15.677219 12.980228 0 1 6 14.913978 14.819455
237 30.714286 13.760339 209 2.396992 16 3217 18 50 215 4.499205 25.585763 43 85.285877 16 12 14.997351 12.469996 0 1 6 15.392344 15.239370
238 31.428571 14.984346 174 2.496892 13 2859 17 53 220 4.830327 26.281703 44 82.130320 13 12 15.094771 12.024996 0 1 6 16.431034 15.716357
239 31.000000 14.172408 226 2.496892 17 3329 18 51 217 4.609189 25.863863 45 92.370939 17 12 16.461391 14.126619 0 1 6 14.730088 14.517389
240 32.142857 13.537552 177 2.597437 12 2881 20 52 225 4.719566 26.979915 44 84.312234 12 12 14.748643 12.024996 0 1 6 16.276836 15.479061
241 32.857143 12.944150 156 2.597437 18 2636 22 52 230 4.719566 27.680350 45 86.501093 18 12 14.748643 12.360792 0 1 6 16.897436 14.627065
242 32.428571 14.869500 185 2.597437 12 3149 18 53 227 4.830327 27.259825 46 80.175955 12 12 14.206843 11.951036 0 1 6 17.021622 15.266270
243 32.142857 14.227022 226 2.597437 17 3767 20 52 225 4.719566 26.979915 47 84.312234 17 12 14.748643 13.036519 0 1 6 16.668142 14.581190
244 33.000000 12.047525 179 2.698607 13 2828 22 50 231 4.499205 27.820699 42 92.735663 13 12 14.997351 12.114880 0 1 6 15.798883 13.834771
245 31.428571 12.726319 212 2.496892 18 3622 20 49 220 4.389621 26.281703 43 77.299125 18 12 12.910651 11.002938 0 1 6 17.084906 14.807009
246 31.000000 10.770330 186 2.496892 14 2790 19 46 217 4.063352 25.863863 39 86.212876 14 12 13.544508 11.059212 0 1 6 15.000000 13.440430
247 29.857143 12.540546 231 2.297759 17 3304 17 47 209 4.171686 24.753711 37 88.406110 17 12 14.898879 11.104192 0 1 6 14.303030 12.797928
248 30.857143 10.868415 183 2.396992 13 2631 20 47 216 4.171686 25.724767 37 91.874167 13 12 14.898879 11.104192 0 1 6 14.377049 12.837144
249 29.571429 11.721252 217 2.297759 18 3152 19 47 207 4.171686 24.477121 38 87.418288 18 12 14.898879 11.475734 0 1 6 14.525346 13.322672
250 29.142857 13.922526 178 2.297759 12 2742 16 49 204 4.389621 24.062961 42 80.209871 12 12 14.632071 12.114880 0 1 6 15.404494 14.462830
251 32.714286 12.463825 206 2.597437 19 3419 20 51 229 4.609189 27.540087 44 86.062773 19 12 14.403717 12.024996 0 1 6 16.597087 14.759489
