#1-Window 2-avg_peers 3-std_peers 4-replied_queries 5-required_queries_avg_LNUMWANT 6-monitors 7-obtained_peers 8-min_peers 9-max_peers 10-sum_peer 11-required_queries_max_LNUMWANT 12-required_queries_sum_LNUMWANT 13-peers_uniques 14-required_queries_sum_avg_peers 15-obtained_monitors 16-obtained_sentinels 17-required_queries_max_avg_peers 18-required_queries_unique_peers_avg_peers 19-required_queries_avg_L200 20-required_queries_max_L200 21-required_queries_sum_L200  22-obtained_peers_avg 23-obtained_peers_std
85 1407.222222 1620.841056 463 220.245759 23 71459 0 4077 25330 724.927701 5429.222143 4703 1707.302561 23 11 227.964686 267.191860 55 181 1357 159.151448 51.880703
86 1434.388889 1633.114990 445 225.017180 25 69958 0 4096 25819 728.686911 5543.907816 4847 1721.710502 25 12 226.300283 272.860030 56 182 1385 161.939815 51.563078
87 1436.500000 1630.771162 399 225.371026 22 61678 0 4093 25857 728.093234 5552.827797 4675 1713.835740 22 11 224.720134 260.510250 56 182 1388 162.738786 51.644848
88 1434.722222 1624.667515 482 225.017180 26 76879 0 4082 25825 725.916795 5545.316160 4953 1660.274299 26 12 217.340358 269.451070 56 181 1386 167.858079 46.957934
89 1428.333333 1613.212220 435 223.955979 19 69064 0 4049 25710 719.391042 5518.327766 4686 1662.146918 19 11 216.684049 254.897425 55 179 1379 166.019231 46.690775
90 1432.611111 1614.824006 436 224.663391 25 70674 0 4041 25787 717.809850 5536.397121 4885 1657.603928 25 12 214.913129 265.347425 56 179 1384 167.473934 46.330546
91 1428.222222 1609.750655 395 223.955979 24 62768 0 4027 25708 715.043526 5517.858494 4671 1682.273931 24 12 218.001075 257.088740 55 178 1379 164.745407 48.879366
92 1412.277778 1588.482393 514 221.128580 22 80956 0 3959 25421 701.621003 5450.550276 4771 1661.753133 22 12 213.908842 263.208846 55 175 1362 164.544715 48.209781
93 1424.111111 1594.377234 391 223.248792 24 63893 0 3972 25634 704.185280 5500.497602 4608 1646.855569 24 12 210.833916 248.690542 55 176 1375 167.698163 46.000065
94 1427.166667 1597.574872 440 223.779161 23 70108 0 3976 25689 704.974460 5513.400560 4830 1660.662819 23 12 212.341705 263.610952 55 176 1378 166.132701 47.829639
95 1420.166667 1596.106278 413 222.541829 21 64802 0 3987 25563 707.145118 5483.844545 4645 1682.160903 21 12 216.915680 257.067122 55 176 1370 163.641414 47.302889
